Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
1110,9.40,1.84,-5.97,0.48,0.22,0.38
1113,3.22,1.70,-13.25,0.31,0.52,0.39
1116,8.11,2.35,-6.61,0.48,0.27,0.37
1162,5.19,1.71,-15.35,0.22,1.06,0.36
1165,7.15,0.40,-13.04,0.34,0.85,0.33
1167,10.13,0.36,-12.30,0.33,1.01,0.36
1170,3.30,-0.71,-17.98,0.27,1.00,0.31
1173,10.01,-0.69,-12.69,0.33,0.99,0.36
1176,4.52,-0.55,-20.02,0.31,1.04,0.33
1179,11.26,0.57,-13.37,0.38,0.99,0.37
1182,3.08,-1.37,-21.89,0.26,1.10,0.34
1185,11.98,0.69,-14.41,0.38,0.94,0.35
1188,3.37,-0.14,-21.54,0.24,1.09,0.33
1191,10.54,-0.06,-14.34,0.38,0.91,0.35
1194,3.79,-0.58,-21.97,0.28,1.09,0.35
1196,8.32,0.22,-15.36,0.43,0.88,0.34
1216,12.56,-0.01,-15.70,0.46,0.84,0.38
1219,3.70,-0.94,-22.53,0.36,0.95,0.35
1221,7.92,0.04,-16.54,0.52,0.72,0.34
1224,5.05,1.44,-20.42,0.40,0.94,0.38
1227,9.11,0.82,-16.94,0.54,0.69,0.36
1230,4.84,1.57,-20.71,0.37,0.94,0.39
1233,7.81,0.83,-19.02,0.56,0.62,0.34
1236,7.03,0.07,-18.58,0.40,0.87,0.38
1239,5.94,-1.12,-18.10,0.53,0.60,0.34
1242,7.16,0.37,-18.60,0.46,0.75,0.39
1245,7.52,-0.86,-19.67,0.57,0.56,0.37
1248,7.54,1.17,-18.48,0.47,0.74,0.41
1250,3.01,-2.01,-24.86,0.43,0.68,0.37
1257,5.23,-0.90,-21.34,0.49,0.48,0.33
1260,9.04,-0.71,-17.26,0.49,0.55,0.38
1263,5.89,-1.42,-22.12,0.52,0.46,0.35
1266,10.36,0.84,-16.49,0.56,0.53,0.39
1269,3.95,-1.59,-23.62,0.52,0.46,0.36
1272,11.85,0.00,-17.81,0.58,0.44,0.37
1274,4.06,0.24,-24.04,0.44,0.55,0.36
1277,10.18,0.48,-17.45,0.57,0.26,0.34
1280,4.21,-0.21,-22.44,0.40,0.49,0.37
1283,10.07,0.17,-17.34,0.59,0.23,0.34
1286,4.30,0.82,-22.30,0.41,0.45,0.38
1289,9.64,0.20,-18.14,0.58,0.16,0.35
1292,4.76,0.97,-22.30,0.40,0.41,0.35
1299,4.25,-0.23,-23.40,0.37,0.29,0.33
1301,11.85,0.57,-14.98,0.51,0.09,0.35
1304,5.45,2.35,-19.13,0.38,0.30,0.37
1307,6.83,0.00,-18.32,0.52,0.02,0.33
1310,7.73,0.86,-18.00,0.43,0.22,0.35
1313,5.59,0.46,-18.42,0.54,-0.03,0.31
1316,7.58,0.29,-17.08,0.47,0.11,0.36
1319,6.56,-0.19,-18.61,0.59,-0.04,0.34
1322,8.05,1.57,-15.75,0.52,0.07,0.39
1325,4.19,-0.45,-19.46,0.59,-0.11,0.35
1328,9.97,0.44,-15.69,0.59,-0.01,0.38
1330,4.25,-0.85,-18.75,0.59,-0.14,0.34
1333,10.12,0.12,-13.51,0.63,-0.24,0.37
1340,10.32,0.40,-13.36,0.62,-0.15,0.38
1343,2.84,-0.80,-19.13,0.56,-0.18,0.34
1346,10.82,-0.18,-13.72,0.63,-0.25,0.37
1349,4.23,-0.86,-20.89,0.58,-0.20,0.33
1352,11.12,0.15,-13.24,0.60,-0.29,0.36
1354,2.71,-0.89,-19.05,0.50,-0.21,0.32
1357,8.41,0.79,-13.54,0.63,-0.44,0.33
1360,4.69,1.47,-17.77,0.50,-0.20,0.34
1363,9.12,1.14,-13.73,0.63,-0.43,0.32
1366,3.82,1.85,-18.16,0.48,-0.18,0.33
1369,7.47,0.73,-13.80,0.65,-0.47,0.29
1372,5.93,1.29,-16.80,0.51,-0.18,0.32
1375,6.57,0.59,-13.41,0.63,-0.46,0.28
1382,10.21,1.52,-10.33,0.64,-0.47,0.30
1384,2.75,1.54,-17.67,0.47,-0.18,0.30
1387,4.55,0.07,-13.93,0.60,-0.43,0.26
1390,7.40,0.59,-12.51,0.51,-0.25,0.29
1393,5.10,-0.38,-14.29,0.57,-0.39,0.24
1396,7.98,1.32,-11.37,0.49,-0.26,0.28
1399,3.45,-0.53,-14.57,0.51,-0.37,0.23
1402,9.31,-0.24,-10.63,0.47,-0.28,0.26
1405,3.11,-0.25,-14.86,0.48,-0.35,0.21
1408,9.05,-0.04,-10.04,0.44,-0.35,0.25
1411,3.97,-0.94,-15.88,0.43,-0.32,0.22
1413,10.17,0.96,-9.55,0.44,-0.33,0.26
1416,1.90,0.47,-17.32,0.26,-0.17,0.24
1423,2.57,-0.51,-15.98,0.29,-0.24,0.20
1426,10.55,-0.47,-8.18,0.28,-0.37,0.23
1429,2.04,-0.56,-15.99,0.22,-0.20,0.20
1432,10.95,0.29,-7.58,0.26,-0.38,0.22
1435,1.76,-0.19,-16.38,0.13,-0.16,0.20
1437,10.89,0.19,-7.57,0.20,-0.39,0.21
1440,4.75,1.46,-12.94,0.07,-0.13,0.21
1443,5.55,0.63,-9.28,0.17,-0.39,0.17
1446,5.35,0.54,-11.30,0.02,-0.15,0.20
1449,6.44,0.74,-9.35,0.13,-0.31,0.18
1452,5.43,1.19,-10.63,-0.03,-0.10,0.21
1455,4.18,0.77,-10.42,0.06,-0.29,0.17
1458,7.18,0.06,-9.69,-0.07,-0.09,0.20
1465,3.28,0.79,-13.44,-0.19,-0.06,0.21
1467,7.92,1.45,-7.49,-0.02,-0.31,0.19
1470,8.27,0.03,-7.73,-0.14,-0.10,0.22
1473,2.15,-0.26,-11.61,-0.14,-0.18,0.17
1476,8.32,-0.21,-7.85,-0.18,-0.14,0.21
1479,3.71,-0.85,-13.12,-0.20,-0.14,0.17
1482,9.37,0.19,-7.11,-0.23,-0.16,0.22
1485,1.68,-0.92,-13.58,-0.27,-0.11,0.18
1488,11.05,-0.85,-6.53,-0.27,-0.18,0.23
1491,2.12,-0.65,-12.90,-0.32,-0.09,0.19
1494,9.92,-0.91,-5.52,-0.32,-0.24,0.24
1496,2.47,-0.67,-13.86,-0.36,-0.10,0.20
1499,8.52,1.60,-6.09,-0.28,-0.31,0.22
1506,10.82,-0.24,-5.69,-0.38,-0.30,0.26
1509,2.01,-0.09,-14.20,-0.48,-0.08,0.23
1512,9.91,0.15,-4.67,-0.40,-0.35,0.25
1515,2.03,0.47,-12.84,-0.53,-0.10,0.24
1518,9.39,1.04,-4.25,-0.40,-0.37,0.26
1520,2.33,0.88,-12.95,-0.56,-0.10,0.25
1523,9.02,1.59,-4.48,-0.43,-0.38,0.27
1526,2.24,1.56,-12.84,-0.61,-0.10,0.26
1529,3.55,0.64,-7.75,-0.49,-0.30,0.22
1532,7.22,0.32,-7.53,-0.60,-0.16,0.27
1535,3.56,0.76,-8.05,-0.55,-0.30,0.23
1538,7.20,-0.45,-6.54,-0.63,-0.20,0.28
1541,3.16,0.01,-9.57,-0.59,-0.27,0.24
1548,5.62,0.92,-6.03,-0.62,-0.38,0.26
1550,5.27,1.13,-9.18,-0.77,-0.15,0.29
1553,4.87,0.78,-5.54,-0.67,-0.37,0.26
1556,5.69,0.34,-8.14,-0.80,-0.16,0.30
1559,2.14,-0.91,-10.88,-0.75,-0.20,0.25
1562,10.67,-0.27,-3.61,-0.72,-0.32,0.31
1565,0.94,-1.37,-11.77,-0.81,-0.16,0.27
1568,10.76,-0.18,-3.69,-0.74,-0.36,0.32
1571,1.94,0.02,-11.27,-0.81,-0.20,0.28
